Month,ARIMA_Forecast,ARIMA_Lower,ARIMA_Upper,Prophet_Forecast,Prophet_Lower,Prophet_Upper,Ensemble_Forecast
2012-01-01,517208.43999999994,94401.43360046402,940015.4463995359,656828.1642950411,649224.3137479557,664431.8554982035,587018.3021475205
2012-02-01,517208.43999999994,-80730.9627165919,1115147.842716592,440305.2288616743,432089.2762650281,448509.9240203973,478756.83443083713
2012-03-01,517208.43999999994,-215114.77688009583,1249531.6568800956,657703.3649865093,646375.4310046191,669677.6475026805,587455.9024932546
2012-04-01,517208.43999999994,-328405.5727990719,1362822.4527990718,681520.462446387,664697.6788833749,698476.6869457584,599364.4512231934
2012-05-01,517208.43999999994,-428216.7676725511,1462633.647672551,367839.84044375445,354246.6202506592,382408.66959569516,442524.1402218772
2012-06-01,517208.43999999994,-518452.9853525249,1552869.865352525,560034.2261764952,534143.0415081717,584872.9390536488,538621.3330882476
